x,y,z,class
-12.47443199,-9.53109455,1.52181661,1
9.99935246,6.55618429,3.34171844,1
9.95981312,-20.23382950,1.20719862,1
4.37167168,-2.18597937,8.69392300,1
0.57751215,1.13858056,8.04760456,1
-3.58945465,26.95171547,0.93483758,3
-15.53559399,1.67912209,5.06050301,1
23.86256981,-0.78027284,-0.48390108,1
20.90465927,-6.47522402,0.59639454,1
18.19204903,29.94698143,-0.42519295,3
3.74793839,-19.92487907,1.09960544,1
16.33101273,1.11264563,2.92247415,1
36.54068756,17.85411263,5.99081278,3
-20.04324150,17.16001320,1.93371248,3
21.68264198,7.15102148,0.51481855,1
-3.09183049,-18.98336029,5.22789288,1
-11.74914932,-12.72528362,5.70139408,1
-1.30136216,0.92043370,5.93610525,1
-14.75605011,-6.43723154,3.47040772,1
27.31663322,24.33861351,14.26154518,3
37.48216248,28.08800697,1.94354677,3
11.04204464,-15.21360874,4.13996887,1
-12.87206268,8.36719799,5.16416979,1
2.92979550,19.34507370,5.12377548,1
7.48934269,2.61783600,10.16609383,1
6.91091681,-5.72963285,10.17092037,1
0.27608454,23.39152145,0.67798877,3
3.64948559,3.89234376,8.43677235,1
-30.89455032,18.42211342,2.62168932,3
17.40897560,-14.08004856,2.70023704,1
4.85379028,-5.27313137,5.57770491,1
-7.55633307,16.56576157,5.53332806,1
7.65382576,2.89686894,9.02235603,1
-10.27198601,-0.70300239,4.59053183,1
-16.10688782,-2.02133274,1.89279640,1
25.07750702,27.82274055,14.41570854,3
-16.63855362,24.81731796,1.74833298,3
37.64816666,4.15618467,-1.74776101,3
-2.64519358,-24.33148384,0.68129969,3
28.96322250,-19.06124878,-1.28882480,3
3.42603517,17.48188400,0.87480175,1
2.18561482,-19.01632118,3.24001813,1
-5.40530682,-0.62210429,4.28443050,1
15.77976322,5.24388504,2.97281623,1
14.50306320,32.12877655,-0.18467641,3
-19.32930756,-16.34541321,1.76195812,3
7.64908838,-17.53470802,2.67973375,1
-6.39931011,-14.90493679,5.58151436,1
1.17678142,-17.60944748,2.57931662,1
0.02249994,-0.81210220,5.61329079,1
-1.10394478,-2.25703692,9.03243256,1
-1.08896852,-3.08055067,10.68461990,2
37.04127502,35.30236816,0.25648546,3
20.28861046,20.96335602,8.91933441,3
-11.66075611,6.05640697,5.99210596,1
18.91651154,-9.07098198,4.00970554,1
7.67545366,-17.06097031,4.68726587,1
-11.38735676,-29.91778946,1.21056533,3
16.33359146,16.58548546,4.15957594,1
1.29481590,5.37620592,10.55905914,1
1.43098712,4.31407166,6.58614206,1
2.94121552,5.16068220,9.47580719,1
36.21477127,35.78890991,2.60398197,3
-5.96421146,14.19243526,5.66424274,1
-7.83439732,27.30327225,1.20343041,3
12.05968857,-1.09102511,9.19582176,1
-16.42514038,17.88586426,1.70866346,3
36.26877594,-16.50038719,-1.73909163,3
2.66761780,-20.41131592,4.98981905,1
21.14488792,35.07268524,6.02185583,3
-11.98110771,-3.60388398,5.97571468,1
33.48720551,26.36207390,13.88070107,3
14.55795860,-8.68665218,2.99701953,1
-17.51992989,10.81965160,1.75084925,3
12.62880611,7.50243473,3.17974877,1
-17.23228645,-16.50303841,1.62933278,3
36.76262665,8.35101128,-1.67613113,3
11.41372585,-3.17353225,4.68911934,1
3.55636048,-4.53028488,6.02935314,1
5.55214643,7.26057625,3.62438107,1
3.56489968,-5.09374285,6.74645185,1
-7.14790297,-15.96968842,2.86699438,1
17.29076004,-14.08046055,0.91108823,1
-4.96477890,16.87998009,2.36764789,1
21.37094688,-12.08351612,1.68041134,1
35.20083618,-27.30400658,-1.71274161,3
-6.14680052,-17.10513687,0.94507670,1
-5.22075081,-33.12830353,0.81016445,3
9.20403862,11.66083241,3.41111040,1
17.19072342,-14.04785728,0.08114707,1
-6.11653090,17.83662033,1.05944538,1
14.93671322,16.55288124,4.21166086,1
0.74882174,10.59177685,3.93940616,1
10.06362820,-20.19622612,0.85601866,1
22.98548698,-5.75843430,2.51513362,1
22.72220802,9.16120243,3.05299234,1
24.49479294,21.11702538,14.42701340,3
1.64705598,13.61227417,3.89428449,1
8.77593613,-1.34498811,6.61336517,1
8.37240124,31.58190727,0.19924116,3
-23.74821472,-7.06057501,2.07531261,3
-0.00640536,-16.01319885,3.90671802,1
20.47070694,18.91796494,10.30703163,3
11.55420399,-16.04373550,4.44684792,1
-14.85599804,-1.44060445,3.35972738,1
4.03155947,16.00660133,4.91403437,1
8.11793804,17.55780411,4.79036522,1
-9.93641663,-14.39746094,3.49634552,1
9.12032318,-4.48287487,5.02659798,1
-12.68861961,-8.25359726,6.00266266,1
-13.11119556,32.37379456,1.55484843,3
-26.62127876,-13.03789997,2.23357916,3
31.54963303,35.49630356,12.25400925,3
2.55996442,-0.98538679,2.28995204,1
16.40037346,-13.00340843,4.15323925,1
18.11809158,12.42661476,3.26509428,1
24.06673431,5.84249544,0.98417044,1
23.98592377,35.21895218,3.69488096,3
-2.83836699,-34.08725357,0.65654016,3
-0.22737050,-4.35935736,5.61559772,1
9.81011581,17.62898636,1.30381799,1
-0.95111334,-0.71161550,9.01360512,1
-23.48288536,22.28794098,2.16967964,3
4.37575340,15.96102905,3.73137450,1
3.12579656,19.27482986,2.73539114,1
4.66121769,20.81382942,0.39214468,1
20.94976997,-12.00217819,3.35560274,1
4.93366861,-6.34799719,6.01940012,1
-22.51399803,30.81818199,2.14096308,3
-2.69935489,-1.25352156,5.78298807,1
0.47394544,1.09016752,6.70319653,1
37.71284866,35.53750992,11.21607590,3
14.08339024,-13.76882172,4.29621983,1
-5.40189505,-25.36386871,0.85095501,3
5.76197386,-7.63370609,4.90255594,1
-21.49324799,-5.40905523,1.93958998,3
7.87143660,11.16404247,3.49313116,1
10.51629639,-18.26653862,0.61828184,1
6.05793524,15.99329185,4.20699978,1
3.86631703,1.50196660,8.19329643,1
-16.02353668,-2.05447650,4.12763214,1
-4.72090912,15.86363220,2.11128950,1
1.23308396,6.04395199,9.54264832,1
-20.31171227,-23.86914444,1.79533577,3
19.90144157,19.17376328,1.42920208,3
33.85093689,20.64399147,13.83613014,3
7.78744411,18.08884621,0.83450657,1
2.88649964,-1.36363459,4.01421309,1
-12.49763680,-11.99922657,1.66750979,1
-15.34897804,19.26840019,1.64614058,3
17.58217239,11.84328270,3.83590651,1
13.22776222,18.28612137,4.24679852,1
-11.77105713,5.16648054,5.99568272,1
-9.27099323,10.86731339,1.67530560,1
14.74898434,-4.10181713,3.00234437,1
11.82695293,10.83440113,3.24284387,1
16.00553894,16.97450447,2.99053192,1
10.49807739,3.22986269,6.67704678,1
9.62098789,19.66193390,4.70369625,1
5.94027996,6.08799601,5.26682043,1
6.14962578,-16.97146606,4.74047709,1
-7.33515692,-14.07835293,4.06256485,1
-0.90033811,-19.40642357,4.94737339,1
5.10550737,7.10898829,9.80132961,1
15.90562630,-16.89690399,3.07613158,1
13.82750034,-18.20871162,2.22767377,1
6.21615171,-1.49849117,6.65610313,1
23.86086464,4.75484467,1.03377497,1
31.14384842,17.63954735,0.93936968,3
-13.78577328,8.41942692,3.96651268,1
-1.17380130,7.63919592,4.04928017,1
17.41934204,-7.58876038,2.82102132,1
2.22453237,-18.56877518,4.33292150,1
-8.62350559,10.01374817,5.81585741,1
-12.97786331,11.04062080,3.36279273,1
-17.41561508,21.18565369,1.78351259,3
-2.30312514,-0.43121976,6.20009470,1
-14.98723888,25.09557152,1.64541912,3
37.90601730,27.96987152,8.60700226,3
0.34998745,1.78514111,8.17542076,1
