x,y,z,class
-9.79773712,-14.68702888,43.75647736,1
13.54858685,27.28584862,23.81503677,1
-8.05194187,5.55818939,73.84027100,1
-2.56123090,-12.51997566,14.50538445,1
-14.89529228,6.13216352,32.49614334,1
0.72328210,6.44341087,6.45653009,1
40.68677139,-37.16634369,0.00000000,3
-45.41352081,30.76749802,0.00000000,3
17.07909966,-59.79292297,0.00000000,3
39.07662964,-38.14421463,0.00000000,3
59.02796936,33.23929214,48.09786224,3
46.18618393,10.12896156,56.24797821,3
-18.00645638,20.73043633,0.00000000,3
46.88051987,28.11262512,56.05274200,3
14.99672699,-38.99213791,0.00000000,3
-51.14783478,55.54870224,0.00000000,3
8.42357635,-9.85562611,45.62837982,1
45.44032669,24.78962708,58.78840256,3
-2.66504502,-8.10805416,2.45673752,1
-20.37070847,-6.51803446,52.59624100,1
-15.98874187,43.51382828,0.00000000,3
2.40915394,1.91919529,90.93402100,1
2.66511631,1.28202343,0.00000000,1
-55.35747910,-26.31347084,0.00000000,3
38.72673416,27.68811989,35.81187439,3
9.52515221,2.19624066,61.93682480,2
52.19986725,37.44468307,41.48427582,3
28.25547028,-13.92970753,2.65328217,1
-54.57268143,49.05238724,0.00000000,3
49.54911423,55.54471970,0.00000000,3
-57.50992966,19.79327393,0.00000000,3
2.88767910,-10.93799782,71.95413971,1
-1.76024961,-14.47907448,0.00000000,1
4.24537992,-6.55118513,98.28826904,1
-46.41561508,42.83601379,0.00000000,3
26.23777390,-45.75513840,0.00000000,3
-11.01010323,-17.44098282,61.64572525,1
-3.17362905,-19.62742424,-0.16346335,1
10.82922840,-31.70235062,0.00000000,3
55.97067642,-25.07354546,0.00000000,3
16.27998734,27.18816566,10.27373886,1
28.39591789,-8.00941467,3.92670536,1
40.88589478,-6.42089081,0.00000000,3
71.71147919,18.49224472,35.81187439,3
-53.98534393,-15.12672424,0.00000000,3
55.18119431,11.16500282,63.53129578,3
10.44911003,17.04398918,-0.16346502,1
40.63828659,40.98062134,0.00000000,3
-6.37037420,-14.86029816,41.62004089,1
-6.56577969,25.89334679,1.35424471,1
-2.09027576,-4.48453093,28.09057045,1
-6.52327824,-15.96960449,73.31936646,1
-53.22652054,-38.29187775,0.00000000,3
-7.30659866,-55.27674484,0.00000000,3
3.16775680,-9.07643986,77.39070129,1
43.75024033,25.95973015,54.67105865,3
-6.83249855,4.65106344,79.50520325,1
15.51576233,9.22079754,36.99465179,1
17.12155914,23.70980263,20.50933456,1
-11.32563114,-14.96726513,96.76721191,1
-5.89912987,29.35667229,5.36054564,1
6.34927654,-17.33360100,0.00000000,3
-4.83747673,-16.28875160,73.09468842,1
-21.60370636,42.61396408,0.00000000,3
39.55528641,-5.33529854,0.00000000,3
-7.14436054,-53.13827515,0.00000000,3
10.17174530,-1.95077538,36.01043701,1
1.30008173,29.57916641,27.64059258,1
40.65131378,26.78904343,48.59634399,3
-12.70028591,-11.49752235,74.49765778,1
2.11143851,-2.06829619,23.27692223,1
-16.51433563,37.97977448,0.00000000,3
64.98720551,29.14950371,48.14305496,3
-5.53398466,-42.23130417,0.00000000,3
23.17270851,-39.27824020,0.00000000,3
-8.72796249,2.22938251,3.48958158,1
12.91102505,3.60867476,48.42745972,2
19.73688126,-50.34107971,0.00000000,3
10.81974220,-4.78114653,-0.16346335,1
7.01295042,-12.25340557,82.99710083,1
-36.59146881,-24.93315887,0.00000000,3
50.27178192,47.13625336,0.00000000,3
-16.11567688,8.12485600,14.81737518,1
-21.28597260,-28.24098969,0.00000000,3
-8.83430099,27.40326118,16.64798737,1
49.39453506,30.09866905,0.00000000,3
43.08319092,0.11662996,36.09160614,3
1.41073787,2.35453081,72.15204620,1
-3.91105938,-6.71993780,16.48620605,1
-13.86456013,-14.48415470,64.04766846,1
43.63133240,17.15274620,58.88912964,3
11.20528984,16.58889008,47.98237228,1
57.81806946,18.13151169,35.81187439,3
2.68215394,32.57272720,11.31047821,1
-14.96236134,-8.42578697,83.98808289,1
52.44026184,-50.78269958,0.00000000,3
50.43836594,32.75385284,35.81187439,3
4.44542456,-8.67380142,95.90177917,1
5.42809153,12.00869942,0.00000000,1
34.98720551,25.06950760,35.81187439,3
68.20857239,11.07911110,35.81187439,3
31.87382317,5.66038370,1.66421700,1
59.52275467,-21.50864410,0.00000000,3
19.53209496,5.70316505,3.94044971,1
-5.59219933,-19.28622818,92.36592865,1
56.71756744,-0.07586852,0.00000000,3
-9.76184559,8.29271698,62.07635117,1
69.01373291,7.59455156,40.86531448,3
-26.06964493,14.34125900,0.00000000,3
2.70437431,9.06842422,0.00000000,3
-10.87115383,-14.75539494,91.74066162,1
-12.82730675,-15.27223969,86.79563904,1
